,Order,File_Type,SKU_number,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice,SoldFlag
55311,61617,Historical,246231,S,2,1,149808,52.99,2005,23,0.0,0.0,0
14455,14824,Historical,566028,D,2,1,96729,39.47,2011,175,62.99,33.99,1
14617,14992,Historical,910114,D,2,1,1763552,44.95,1997,29,60.99,21.38,0
47354,53253,Historical,193447,S,4,1,1153571,140.0,2006,23,103.99,63.81,0
59792,66642,Historical,177486,S,2,1,421343,217.95,2001,29,64.37,119.67,0
15274,15660,Historical,118699,D,3,1,934582,174.67,2007,76,67.4,23.67,0
38139,41914,Historical,192711,S,2,1,2376555,44.95,2000,28,63.99,16.82,0
26525,27111,Historical,575942,D,3,1,2640592,53.01,2011,16,43.95,33.99,1
67557,75480,Historical,646492,S,3,1,1375887,44.95,2008,20,38.99,47.99,0
50866,56829,Historical,666713,S,7,1,2155333,264.75,2011,10,126.74,72.79,0
20856,21337,Historical,166928,D,7,1,645535,124.86,2006,61,81.91,50.71,0
23490,24015,Historical,111794,D,7,1,1139873,154.53,2010,15,112.19,69.49,0
66723,74527,Historical,1633031,S,0,0,172804,50.0,2014,11,0.0,36.07,0
27108,27701,Historical,607918,D,3,1,982663,152.67,2005,69,99.12,28.8,0
75141,84155,Historical,719633,S,0,0,872079,50.0,1999,11,0.0,27.25,0
15483,15870,Historical,143374,D,2,1,2412952,27.0,2002,22,41.3,8.98,1
2980,3117,Historical,2386375,D,0,0,7665241,19.95,1996,27,0.0,4.95,0
48009,53917,Historical,1496188,S,1,0,211578,50.0,2011,28,21.29,32.91,0
19692,20147,Historical,60473,D,7,1,464729,312.95,2006,45,189.24,44.99,0
17460,17874,Historical,868406,D,1,0,2053501,77.95,2008,19,30.99,106.03,0
66130,73846,Historical,58507,S,0,0,1061259,78.0,2003,44,83.19,35.59,1
53014,59061,Historical,874323,S,2,1,1960908,51.0,1999,100,30.94,11.58,0
30011,30667,Historical,196206,D,3,1,433656,79.95,2005,22,45.94,26.95,0
36372,37958,Historical,538909,S,17,1,301762,76.82,2013,41,0.0,41.98,0
36599,38232,Historical,50641,S,5,1,1752435,153.33,2006,53,49.97,13.99,0
54058,60209,Historical,541452,S,2,1,1509486,54.95,2012,40,8.44,38.98,0
44276,50130,Historical,203854,S,8,1,826905,75.95,2007,37,29.49,19.03,0
54463,60665,Historical,900709,S,1,0,652019,44.99,2007,21,45.13,33.98,0
12122,12457,Historical,51749,D,5,1,234622,336.95,2008,91,143.83,33.99,0
40762,45735,Historical,1518432,S,7,1,1459877,166.95,2011,12,69.83,675.0,0
53670,59780,Historical,1482336,S,1,0,27496,116.8,2014,49,75.5,87.69,0
57049,63552,Historical,635577,S,1,0,36519,186.95,2013,70,61.99,70.3,1
4667,4888,Historical,608985,D,4,1,627381,162.95,2006,68,48.99,22.73,0
46524,52407,Historical,765001,S,2,1,2811462,71.95,2002,24,91.98,8.13,0
47260,53157,Historical,58537,S,4,1,2928628,183.33,2008,9,61.79,183.33,0
35530,36602,Historical,861945,S,13,1,274088,202.67,2014,67,149.99,80.98,0
59825,66679,Historical,129323,S,6,1,2746472,55.0,2010,30,43.23,33.99,0
18534,18966,Historical,2618287,D,2,1,2647965,32.95,1991,16,0.0,13.86,0
27998,28612,Historical,51516,D,3,1,697271,149.5,2009,166,132.14,15.49,0
60486,67419,Historical,106192,S,1,0,708260,104.0,2010,30,0.0,0.0,0
23358,23882,Historical,54510,D,16,1,245243,323.91,2006,82,110.49,92.55,1
43555,49405,Historical,264873,S,2,1,1274668,79.95,2000,16,73.71,81.42,0
37489,40739,Historical,714506,S,3,1,1849247,147.0,2002,20,5.78,46.41,0
10302,10596,Historical,205185,D,0,0,176678,19.0,2001,118,108.86,9.91,0
34581,35364,Historical,288812,D,9,1,1239786,77.95,2006,90,60.0,8.42,0
29880,30534,Historical,54823,D,6,1,148407,28.98,2009,113,38.12,32.44,1
61634,68736,Historical,534650,S,2,1,81377,41.95,2012,62,35.02,28.48,0
72707,81298,Historical,635862,S,2,1,92693,30.0,2011,48,22.33,24.4,0
35379,36357,Historical,898603,S,0,0,16089,74.99,2011,25,44.42,41.38,0
33382,34132,Historical,901517,D,1,0,4694476,73.39,2005,18,70.57,41.87,0
14717,15093,Historical,145840,D,6,1,293624,142.8,2008,27,128.99,40.86,0
44705,50562,Historical,632642,S,7,1,1103217,136.61,2008,34,114.24,25.23,0
57431,63969,Historical,865129,S,2,1,275181,59.99,2006,16,0.0,0.0,0
51038,57005,Historical,349807,S,5,1,2177919,44.95,2005,27,6.54,32.96,0
40916,45930,Historical,653500,S,1,0,420813,86.5,2009,26,48.66,68.02,0
12636,12980,Historical,114818,D,1,0,428291,111.6,2001,21,145.95,59.25,1
56723,63188,Historical,543376,S,9,1,490568,95.95,2011,33,19.99,38.84,0
20781,21260,Historical,256326,D,2,1,563047,49.95,2006,184,41.79,18.76,0
40251,45087,Historical,114625,S,2,1,1302321,130.6,2003,46,24.76,38.26,0
14227,14588,Historical,591367,D,3,1,1204105,139.95,2006,58,115.33,11.99,0
2010,2103,Historical,911821,D,0,0,1120714,90.75,1989,23,0.0,100.42,0
69748,77984,Historical,622581,S,2,1,64473,89.0,2012,47,22.79,50.99,0
33937,34698,Historical,3590287,D,2,1,1977340,39.0,2006,18,0.0,10.35,0
75378,84421,Historical,902378,S,2,1,567829,34.0,2014,15,27.72,30.27,0
63965,71354,Historical,908274,S,0,0,2103370,29.95,2007,27,30.23,47.89,0
75227,84256,Historical,909156,S,2,1,1037400,33.4,2000,29,0.0,42.48,0
61903,69036,Historical,106418,S,17,1,389730,207.0,2008,69,16.05,28.32,0
44521,50377,Historical,137545,S,11,1,1968462,169.0,2010,29,53.14,45.43,0
74844,83811,Historical,900510,S,5,1,445588,39.99,2014,13,17.99,25.14,0
18964,19406,Historical,264306,D,2,1,447626,67.99,2010,37,44.64,50.2,0
17413,17826,Historical,1445497,D,1,0,4167343,116.0,2008,13,118.88,66.62,0
3643,3828,Historical,900120,D,4,1,7816656,39.95,2003,17,32.5,101.37,0
74460,83369,Historical,1633935,S,1,0,200439,59.99,2014,29,25.3,37.92,0
73825,82647,Historical,643330,S,2,1,363312,65.0,2009,23,0.0,63.27,0
49675,55610,Historical,625553,S,1,0,375595,60.0,1992,51,20.83,9.74,0
72881,81519,Historical,120623,S,3,1,15703,120.95,2008,53,73.99,72.27,0
62652,69899,Historical,860809,S,3,1,1189343,60.0,2012,23,19.14,18.97,0
56300,62731,Historical,539797,S,2,1,234002,34.95,2009,41,15.49,24.26,0
5777,6007,Historical,518657,D,9,1,84077,338.95,2010,62,189.24,32.8,1
45283,51144,Historical,255771,S,2,1,839949,49.95,2005,28,44.5,23.99,0
22242,22747,Historical,55098,D,6,1,107674,272.95,2008,68,131.73,59.16,1
17707,18129,Historical,60406,D,3,1,1038638,54.95,2004,24,50.15,67.36,0
17744,18166,Historical,60410,D,5,1,1072973,367.95,2006,43,37.0,32.64,0
22065,22569,Historical,126060,D,0,0,223776,39.95,2000,56,23.99,11.61,1
65852,73531,Historical,130098,S,2,1,273646,79.99,2002,50,33.23,33.94,0
42345,48146,Historical,635571,S,2,1,612389,111.95,2013,22,0.0,75.97,0
74859,83827,Historical,649724,S,1,0,97164,39.95,2012,19,0.0,33.99,0
17033,17444,Historical,110772,D,3,1,890536,33.99,2007,52,43.62,16.19,0
45618,51488,Historical,716999,S,2,1,7260872,59.0,1997,20,35.52,50.99,0
45028,50889,Historical,606785,S,19,1,1367747,74.95,2008,47,41.39,10.98,0
25194,25755,Historical,153858,D,8,1,20966,61.95,2005,128,46.95,50.68,0
29322,29968,Historical,1506228,D,2,1,786523,95.0,2011,35,17.95,80.84,0
74766,83723,Historical,142123,S,1,0,737854,49.2,2011,55,0.0,44.1,0
3143,3292,Historical,60984,D,5,1,5420483,85.95,2000,23,114.01,36.94,0
46131,52009,Historical,789157,S,3,1,1895648,118.5,2003,20,79.31,43.99,0
40878,45874,Historical,1556745,S,3,1,155780,64.95,2014,26,33.12,30.12,0
41414,46761,Historical,876636,S,6,1,1277039,201.95,2014,21,105.94,143.63,0
37382,40431,Historical,639441,S,3,1,1258704,42.95,2003,27,12.34,29.95,0
47168,53064,Historical,811844,S,2,1,1622558,79.95,2009,14,69.64,21.99,0
7024,7260,Historical,515849,D,14,1,11367,207.2,2011,157,103.49,33.19,1
24319,24857,Historical,673155,D,0,0,1912,15.99,2012,83,43.6,9.67,0
42004,47767,Historical,3793730,S,5,1,456043,59.99,2016,0,0.0,42.85,0
29623,30274,Historical,2405235,D,0,0,3196531,74.0,1995,22,31.96,20.49,0
15271,15657,Historical,60310,D,3,1,1663318,252.95,2006,46,112.98,25.25,0
50052,55991,Historical,2270249,S,2,1,374824,55.88,2011,53,0.0,54.99,0
4671,4892,Historical,51748,D,8,1,523064,354.95,2007,50,76.59,29.99,1
35521,36590,Historical,716266,S,4,1,1306822,222.67,2012,17,83.65,153.97,0
18735,19169,Historical,183997,D,3,1,4569769,155.95,2004,30,53.9,31.43,0
43727,49580,Historical,609624,S,3,1,717703,142.95,2008,24,88.81,104.98,1
32150,32864,Historical,265100,D,0,0,932210,10.95,2005,36,36.96,10.95,0
69422,77608,Historical,863745,S,2,1,785898,55.0,2009,27,38.0,29.63,0
24644,25188,Historical,2252731,D,4,1,2136592,35.65,2009,46,0.0,22.82,0
32647,33374,Historical,2614031,D,1,0,882360,155.0,2003,23,63.2,107.75,0
59514,66331,Historical,610188,S,3,1,30129,48.0,2013,45,43.43,28.85,0
66038,73742,Historical,106965,S,2,1,3959417,29.99,2003,43,10.71,6.69,0
55360,61672,Historical,199967,S,3,1,209987,96.95,2003,27,40.44,56.07,1
12159,12495,Historical,50118,D,12,1,74750,210.67,2010,179,110.99,13.99,0
24819,25371,Historical,527809,D,3,1,321080,207.95,2009,22,133.72,41.97,0
21252,21741,Historical,607439,D,7,1,2151608,52.6,1991,37,31.24,45.55,1
8011,8267,Historical,55031,D,6,1,2016578,140.0,2005,44,43.89,4.99,0
8021,8277,Historical,243980,D,1,0,393975,178.95,2011,94,71.99,16.99,1
21876,22379,Historical,52902,D,7,1,3286332,148.0,2003,39,153.99,10.58,1
23939,24473,Historical,222352,D,3,1,1873327,95.0,2005,24,62.24,27.98,0
17494,17909,Historical,624284,D,4,1,137674,43.34,2011,60,74.01,58.03,1
59810,66662,Historical,126447,S,0,0,46786,49.95,2005,33,0.0,43.89,0
74594,83531,Historical,701084,S,3,1,142294,42.0,2007,34,0.0,0.0,0
765,773,Historical,537910,D,1,0,675130,89.5,2001,33,105.29,30.51,0
6744,6979,Historical,286266,D,6,1,85177,174.0,2007,32,182.99,121.75,1
43651,49502,Historical,128976,S,3,1,1634024,105.0,2005,22,39.98,45.64,0
62706,69958,Historical,131669,S,10,1,2572714,88.0,2003,55,100.78,33.99,0
55804,62166,Historical,1768597,S,0,0,724129,63.0,2014,20,35.61,41.43,0
7225,7464,Historical,146420,D,1,0,51884,54.99,2010,148,10.71,21.59,1
69226,77375,Historical,201758,S,2,1,147743,49.95,2008,23,0.0,0.0,0
68397,76445,Historical,624461,S,0,0,434873,35.0,2005,48,24.55,15.74,0
8293,8552,Historical,210946,D,1,0,1014409,56.95,2005,47,49.74,7.97,0
17609,18028,Historical,699079,D,8,1,4512934,107.75,2008,13,123.75,63.02,0
18701,19134,Historical,863323,D,3,1,553535,23.99,2005,55,151.78,35.91,1
45659,51532,Historical,626146,S,2,1,763191,70.0,2008,33,63.98,9.91,0
22301,22807,Historical,1657015,D,5,1,444665,59.21,2006,16,61.82,23.57,0
53270,59346,Historical,339040,S,2,1,4446550,23.98,2006,31,66.07,23.98,0
13309,13663,Historical,2570015,D,1,0,2391250,163.0,1991,20,78.99,72.34,0
3839,4042,Historical,300957,D,1,0,380728,84.95,2003,43,0.0,35.86,1
24454,24996,Historical,2366330,D,2,1,896944,75.0,2000,26,66.75,13.99,0
398,406,Historical,557118,D,1,0,4127533,46.0,1999,31,33.59,13.97,0
59828,66682,Historical,276952,S,3,1,309129,59.95,2010,46,48.35,48.9,0
50665,56626,Historical,412980,S,6,1,3815664,154.95,2002,38,84.69,14.19,0
52763,58787,Historical,645924,S,2,1,85910,39.95,2006,27,21.63,27.99,0
21037,21520,Historical,321892,D,4,1,326920,116.0,1997,26,47.35,33.25,0
3547,3720,Historical,658286,D,0,0,2206977,75.0,2012,18,11.19,62.58,0
20163,20633,Historical,190433,D,5,1,1520607,0.0,2001,17,0.0,0.0,0
18842,19280,Historical,1711018,D,1,0,6082974,370.0,2006,7,170.37,125.45,0
8110,8367,Historical,54766,D,6,1,671502,300.95,2008,40,176.41,33.99,0
6961,7197,Historical,1495173,D,0,0,3546,15.0,2006,124,18.27,10.11,0
57203,63714,Historical,1440005,S,12,1,95618,105.09,2011,29,68.38,49.82,1
63825,71200,Historical,2095431,S,3,1,72781,54.95,2013,9,0.0,50.61,0
51610,57588,Historical,346161,S,3,1,1511431,174.95,2006,56,71.71,23.93,0
65439,73063,Historical,909047,S,0,0,539219,0.0,2012,18,0.0,0.0,0
21817,22319,Historical,114253,D,15,1,1965015,128.0,2002,43,66.54,10.49,0
65101,72663,Historical,53505,S,13,1,1645875,235.95,2003,100,186.98,3.98,0
46461,52343,Historical,262739,S,1,0,1093550,49.95,2007,15,0.0,33.99,0
73794,82611,Historical,290988,S,10,1,465643,143.95,2011,70,8.08,13.25,0
27144,27737,Historical,709750,D,1,0,3825586,177.48,2010,14,105.91,140.78,1
67671,75621,Historical,315338,S,3,1,56418,167.8,2012,56,86.4,83.96,0
71387,79859,Historical,1517231,S,5,1,264863,45.6,2014,21,42.98,43.8,0
61469,68543,Historical,649695,S,16,1,920746,168.73,2012,26,0.0,602.99,0
23451,23976,Historical,653668,D,6,1,1733694,50.95,2007,24,4.81,39.05,1
72660,81244,Historical,52857,S,3,1,1240064,27.0,2004,117,53.49,22.43,1
52143,58145,Historical,901495,S,4,1,3226653,136.57,2008,23,52.44,47.07,0
49743,55679,Historical,705383,S,4,1,6666562,51.02,2003,45,67.99,43.85,0
55825,62191,Historical,53023,S,5,1,654507,145.6,2005,234,103.87,16.86,1
65642,73303,Historical,57492,S,6,1,1913555,195.95,2008,43,128.59,9.99,0
71740,80240,Historical,642182,S,3,1,528375,53.95,2012,30,6.09,40.0,0
9105,9376,Historical,606693,D,6,1,1039397,147.95,1998,40,77.16,43.05,0
54704,60940,Historical,110060,S,0,0,322805,80.59,2012,19,48.93,129.02,0
46709,52595,Historical,261333,S,1,0,48409,43.0,2001,25,0.0,0.0,0
7088,7324,Historical,570315,D,0,0,5240033,13.98,2009,19,26.24,13.98,0
66371,74106,Historical,867931,S,7,1,147015,69.95,2014,31,85.16,56.39,1
6578,6813,Historical,620855,D,5,1,572271,117.44,2005,65,52.65,21.98,0
19340,19788,Historical,55259,D,7,1,1074072,214.95,2003,62,43.46,52.88,0
52972,59012,Historical,148663,S,1,0,102250,68.95,2008,72,0.0,10.99,1
52420,58436,Historical,147590,S,7,1,1556873,64.95,2008,77,4.0,5.19,0
53667,59777,Historical,541803,S,3,1,105220,83.95,2013,31,34.86,41.26,0
25351,25914,Historical,553566,D,1,0,181918,382.4,2010,68,168.0,20.93,1
35007,35800,Historical,145369,D,0,0,2735231,93.8,2007,39,43.96,12.48,0
3968,4172,Historical,528187,D,4,1,348058,221.8,2011,18,187.9,221.79,0
59759,66603,Historical,255127,S,2,1,339834,49.95,2010,50,66.65,42.83,0
42879,48713,Historical,174398,S,2,1,679692,34.0,2005,71,10.31,134.18,0
28579,29201,Historical,117981,D,4,1,217022,98.0,2005,22,52.19,64.49,0
20264,20735,Historical,174301,D,3,1,323530,35.5,2004,24,22.82,24.93,0
46532,52415,Historical,909125,S,7,1,1605219,75.0,2013,17,0.0,72.69,0
33813,34569,Historical,587494,D,3,1,273746,184.95,2012,36,13.48,68.98,0
72893,81535,Historical,867603,S,6,1,403447,102.99,2014,27,11.19,23.63,0
27094,27687,Historical,145514,D,2,1,2957084,170.67,2006,23,111.51,42.96,0
24059,24593,Historical,57991,D,2,1,2260150,75.95,2006,49,49.8,13.98,0
29970,30625,Historical,614905,D,1,0,2670069,4.0,2000,38,64.54,4.0,0
66415,74159,Historical,108092,S,2,1,482142,55.99,2004,33,0.0,75.73,0
24317,24855,Historical,561234,D,4,1,611312,115.53,2010,39,90.96,77.95,1
70820,79244,Historical,2266361,S,2,1,7424015,78.47,2007,36,89.45,77.04,1
22222,22727,Historical,1739761,D,2,1,739735,73.51,2006,24,49.57,52.61,0
48260,54170,Historical,147333,S,6,1,879390,50.95,2006,55,11.68,12.48,0
44352,50206,Historical,268417,S,2,1,356091,50.0,2005,36,43.97,13.12,0
73219,81926,Historical,631814,S,0,0,122839,39.95,2004,21,23.23,24.07,0
46244,52122,Historical,60391,S,2,1,121473,51.82,2007,69,17.98,8.98,0
2414,2527,Historical,915954,D,3,1,2323936,117.9,1986,24,23.17,93.19,0
74354,83236,Historical,557629,S,1,0,306484,134.4,2012,49,31.9,13.1,0
47041,52935,Historical,3053577,S,5,1,976931,69.0,2003,13,39.3,73.98,0
30949,31628,Historical,737503,D,7,1,1635579,36.0,2006,19,42.99,53.99,0
8159,8416,Historical,592166,D,3,1,212610,58.0,2011,66,53.98,40.35,1
65528,73178,Historical,614151,S,2,1,85948,130.95,1991,72,4.71,66.99,0
74621,83564,Historical,1696762,S,2,1,146102,55.95,2015,33,47.89,49.98,1
16584,16987,Historical,145091,D,4,1,2249648,52.6,2005,16,35.41,68.35,0
50634,56594,Historical,700400,S,2,1,286178,89.95,2003,39,41.49,36.98,0
51272,57242,Historical,789666,S,10,1,1549786,194.95,2008,29,175.6,57.39,0
21687,22188,Historical,874842,D,5,1,2812721,6.68,2007,58,139.04,4.0,0
52247,58256,Historical,655530,S,3,1,813829,56.0,2011,21,41.53,53.2,0
58084,64709,Historical,58041,S,2,1,549478,259.95,1998,65,148.98,47.86,0
45576,51446,Historical,232479,S,3,1,102536,29.95,2004,79,21.51,29.86,0
44147,50001,Historical,134359,S,0,0,590162,25.0,2005,28,43.7,24.97,0
64097,71503,Historical,146015,S,2,1,246137,82.2,2009,48,44.88,77.19,1
60195,67101,Historical,521030,S,2,1,65941,28.0,2004,99,17.49,18.98,0
41147,46277,Historical,203836,S,3,1,2780470,139.99,2007,17,98.99,287.28,0
3735,3935,Historical,300248,D,3,1,133026,87.0,2005,52,77.86,13.99,0
51678,57662,Historical,58256,S,7,1,801986,113.8,2005,25,140.65,69.91,0
54778,61023,Historical,860618,S,17,1,91043,18.99,2012,92,10.98,11.98,0
60972,67984,Historical,597992,S,2,1,269238,57.95,2012,55,28.47,48.79,0
54269,60443,Historical,635631,S,2,1,373862,63.0,2012,15,0.0,0.0,0
47131,53026,Historical,902650,S,2,1,1736875,58.95,1999,16,44.66,54.99,0
32160,32874,Historical,916299,D,4,1,1022214,18.87,1994,33,88.98,24.98,0
64625,72106,Historical,546010,S,6,1,20001,98.75,2012,61,32.98,69.73,0
9787,10070,Historical,60102,D,8,1,241633,288.95,2007,48,152.88,32.86,0
52234,58242,Historical,53260,S,9,1,30310,259.95,2009,76,88.99,42.87,0
51342,57313,Historical,909501,S,4,1,3420170,73.95,2005,19,59.29,13.98,1
12614,12957,Historical,552337,D,1,0,2088623,89.99,2006,23,86.43,56.95,0
23584,24109,Historical,54546,D,3,1,125796,120.0,2007,148,98.34,17.94,1
67914,75891,Historical,527231,S,2,1,50788,149.0,2012,49,56.67,74.1,0
37085,39634,Historical,313153,S,6,1,708465,163.6,2004,54,3.84,14.28,0
72913,81561,Historical,620487,S,2,1,968040,133.75,2011,42,0.0,13.99,0
26496,27081,Historical,584032,D,0,0,4126784,62.0,1995,19,24.82,55.0,0
50107,56047,Historical,609195,S,7,1,1021185,46.5,2007,39,24.38,13.99,0
55864,62242,Historical,532166,S,2,1,51705,50.99,2010,47,12.07,19.97,0
9021,9292,Historical,392704,D,2,1,2847191,73.95,2008,13,74.95,18.99,0
12194,12530,Historical,537959,D,8,1,410577,217.95,2008,72,88.74,68.33,0
6431,6665,Historical,53118,D,5,1,137240,23.93,2003,174,114.75,20.99,1
13220,13572,Historical,536170,D,11,1,614772,379.95,2011,59,145.58,34.05,1
9979,10268,Historical,52259,D,11,1,283598,197.33,2009,198,78.69,17.87,1
43218,49061,Historical,192531,S,10,1,1280998,239.0,2006,16,147.98,92.29,0
51467,57443,Historical,652476,S,1,0,1293483,120.0,2012,22,70.98,55.94,0
45932,51808,Historical,910723,S,5,1,8142035,55.0,2008,35,43.23,94.87,0
64499,71962,Historical,133271,S,4,1,169069,57.2,2010,50,0.0,27.02,0
58483,65159,Historical,202256,S,5,1,2724847,231.95,2000,44,90.27,12.7,0
2821,2947,Historical,2611933,D,0,0,2959473,114.99,2001,14,55.74,38.31,0
18698,19131,Historical,2051514,D,0,0,2664456,99.0,2008,18,76.94,82.35,0
9738,10020,Historical,123906,D,14,1,870525,230.95,2002,92,113.34,13.98,0
18726,19159,Historical,56451,D,8,1,525411,60.0,2008,46,26.74,43.1,0
38273,42241,Historical,2362411,S,4,1,800890,79.95,1994,18,0.0,70.0,0
9453,9732,Historical,229175,D,4,1,2225724,39.95,2009,18,4.0,7.99,0
33910,34669,Historical,592741,D,2,1,1081485,70.03,2009,17,31.61,45.99,0
41667,47196,Historical,2018666,S,5,1,347686,54.73,2011,13,0.0,45.16,0
54830,61075,Historical,1908290,S,5,1,36708,14.99,2012,75,0.0,7.49,0
54477,60682,Historical,167325,S,2,1,270196,96.0,2006,36,52.68,70.45,0
9237,9512,Historical,365710,D,1,0,3795517,94.22,2010,18,0.0,56.23,0
68548,76626,Historical,264457,S,4,1,56442,29.95,2006,222,7.62,12.49,0
71014,79461,Historical,859753,S,3,1,1559065,41.95,2008,9,41.51,16.99,0
11131,11450,Historical,680977,D,3,1,3130120,27.0,2010,14,37.18,46.74,0
14449,14818,Historical,533668,D,4,1,152338,198.95,2012,86,96.54,22.13,1
655,663,Historical,624296,D,12,1,598504,268.95,2011,22,35.0,46.94,0
66213,73935,Historical,609944,S,8,1,8365,56.95,2013,58,43.74,37.18,0
28595,29217,Historical,868318,D,1,0,774201,99.95,1984,14,113.99,110.75,0
56655,63117,Historical,715842,S,12,1,1357708,108.4,2012,35,0.0,0.0,0
10391,10688,Historical,620255,D,4,1,1097633,75.6,2010,44,45.76,12.98,0
42642,48472,Historical,661280,S,1,0,57063,44.95,2009,20,46.43,37.8,0
72475,81039,Historical,203778,S,8,1,733675,229.99,2006,64,16.74,71.67,0
44880,50738,Historical,228726,S,2,1,258995,41.75,2009,38,30.39,42.7,0
25325,25888,Historical,56951,D,5,1,282104,43.95,2008,132,44.17,4.0,0
10350,10645,Historical,2675813,D,4,1,3946176,75.75,1996,35,41.17,13.79,0
9257,9534,Historical,544449,D,8,1,152289,115.95,2013,64,43.89,64.74,0
67461,75360,Historical,869863,S,2,1,1109710,42.35,1996,15,0.0,45.01,0
18528,18960,Historical,279135,D,2,1,1227977,42.95,2005,38,48.99,24.26,0
30609,31282,Historical,912865,D,0,0,3750076,61.28,2006,28,19.98,14.14,0
68209,76231,Historical,2082231,S,0,0,473102,35.0,2014,8,0.0,21.92,0
26272,26856,Historical,293209,D,2,1,1487928,72.0,2007,32,51.44,11.63,0
52100,58102,Historical,157816,S,1,0,695361,37.95,1996,58,28.64,12.7,0
23558,24083,Historical,628775,D,0,0,268228,48.0,2009,42,137.31,23.99,0
49441,55368,Historical,2561354,S,4,1,6085657,367.46,1982,16,85.94,57.69,0
20373,20845,Historical,615369,D,3,1,343170,64.0,2008,43,49.89,23.99,0
11657,11984,Historical,57198,D,5,1,57166,79.95,2011,65,84.45,55.38,0
73080,81757,Historical,126127,S,3,1,622851,49.95,2001,26,18.81,28.5,0
48471,54386,Historical,616189,S,3,1,856243,81.95,2009,48,32.98,36.98,0
13067,13417,Historical,130410,D,13,1,238579,176.95,2011,51,79.99,53.99,1
5873,6103,Historical,110195,D,12,1,97093,244.5,2009,32,109.91,50.99,0
45393,51256,Historical,616823,S,5,1,1099772,85.25,2009,28,82.16,30.32,0
52940,58980,Historical,620934,S,2,1,632209,74.95,1997,69,78.25,48.97,0
9726,10008,Historical,2529346,D,0,0,4308976,54.95,1994,15,38.94,69.56,0
12972,13322,Historical,569578,D,2,1,1973473,157.95,2003,23,69.77,28.99,0
64845,72370,Historical,287869,S,3,1,134733,58.0,2010,51,6.94,49.16,0
59216,65994,Historical,771050,S,4,1,1022385,94.65,2003,44,0.0,45.97,0
45582,51452,Historical,119989,S,11,1,229780,118.67,2008,64,97.24,33.99,0
49654,55588,Historical,894283,S,2,1,6248253,144.95,2005,14,99.35,52.49,0
35908,37231,Historical,877474,S,6,1,3309086,94.5,2011,22,114.41,53.61,1
41287,46567,Historical,878841,S,10,1,1028382,93.75,2012,12,34.46,50.99,0
4112,4321,Historical,608761,D,3,1,2312363,124.95,2003,22,65.17,5.0,0
42845,48678,Historical,193695,S,7,1,1154079,200.0,2010,43,71.04,23.95,0
1453,1468,Historical,2574715,D,1,0,1039541,199.5,1976,18,103.77,118.71,0
12794,13140,Historical,2866234,D,0,0,779108,23.0,2004,16,0.0,21.99,0
73353,82086,Historical,544062,S,3,1,40997,44.0,2013,36,29.09,26.79,0
57187,63697,Historical,724910,S,2,1,841622,85.0,2010,45,4.37,19.95,0
38637,42961,Historical,434974,S,3,1,607180,205.07,2010,21,84.9,143.98,0
56046,62449,Historical,625183,S,3,1,1881454,59.99,2007,28,46.51,12.3,0
38193,42070,Historical,2094389,S,1,0,24715,10.99,2013,31,26.45,5.98,0
43507,49356,Historical,106310,S,3,1,1669572,38.95,2005,28,27.58,19.0,0
51465,57441,Historical,236750,S,0,0,162213,55.0,2003,22,96.37,136.18,0
3482,3653,Historical,827263,D,2,1,4562288,41.95,1998,16,81.21,20.89,0
58495,65173,Historical,637663,S,1,0,33271,86.0,2012,19,0.0,58.99,0
51069,57037,Historical,868360,S,5,1,1123709,95.95,2007,23,84.02,107.31,0
32180,32894,Historical,156975,D,1,0,991970,49.95,2002,30,40.63,49.95,0
203,211,Historical,876162,D,10,1,1088643,95.8,2002,43,75.39,40.4,0
46549,52434,Historical,623543,S,2,1,140326,57.95,2008,49,60.11,35.99,1
59765,66609,Historical,202516,S,1,0,167654,55.99,2004,13,0.0,51.94,1
1684,1770,Historical,562224,D,4,1,398257,217.95,2009,44,181.16,55.31,0
51673,57657,Historical,182530,S,4,1,1169475,41.97,2001,59,17.98,17.99,0
36769,38754,Historical,1716670,S,9,1,246068,35.0,2010,21,0.0,23.22,0
20447,20921,Historical,173855,D,0,0,3214870,65.0,2006,19,34.84,10.27,0
39820,44575,Historical,875117,S,2,1,2367508,26.53,2001,38,57.62,39.48,0
33803,34559,Historical,556435,D,3,1,521825,55.0,2012,22,49.44,77.02,0
4698,4919,Historical,60158,D,8,1,2982715,100.67,2002,43,114.15,13.74,0
52638,58656,Historical,118040,S,2,1,438632,45.33,2005,57,44.5,11.99,0
40006,44765,Historical,899479,S,9,1,2097881,202.0,2010,14,169.2,0.0,0
32451,33173,Historical,715381,D,1,0,1645609,69.99,2011,14,0.0,103.09,0
14571,14945,Historical,913879,D,2,1,904827,59.95,2004,32,45.79,27.99,1
42061,47827,Historical,211032,S,4,1,114917,47.95,2011,125,35.96,14.54,1
38451,42480,Historical,2820347,S,6,1,355066,44.99,1994,14,5.37,33.79,0
27367,27967,Historical,50305,D,18,1,221272,60.95,2011,67,148.45,42.74,0
60864,67870,Historical,918085,S,1,0,270310,162.95,2002,21,0.0,88.78,1
27970,28584,Historical,51275,D,6,1,179588,75.95,2008,168,39.88,9.69,1
59877,66737,Historical,646033,S,0,0,428217,59.99,2011,37,36.16,39.94,0
