checking_acc,duration,credit_hist,purpose,credit_amount,savings_acc,employment_since,installment_rate,status_sex,guarantor,residence_since,property,age,other_installments,housing,existing_credits,job,no_people_liable,Telephone,foreign_worker,cost_matrix
medium,6,existing_paid,new_car,14555,no_acc,unemployed,1,male_single,none,2,agreement,23,none,own,1,unemployed,1,yes,yes,2
medium,21,existing_paid,business,2767,medium,seven+,4,male_divorced,none,2,other,61,bank,rent,2,unskilled,1,no,yes,2
no_acc,12,critical,television,1291,low,four,4,female_divorced_married,none,2,agreement,35,none,own,2,skilled,1,no,yes,1
low,30,existing_paid,television,2522,low,seven+,1,male_single,guarantor,3,agreement,39,none,own,1,skilled,2,no,yes,1
low,24,existing_paid,new_car,915,no_acc,seven+,4,female_divorced_married,none,2,other,29,bank,own,1,skilled,1,no,yes,2
no_acc,6,existing_paid,television,1595,low,seven,3,male_single,none,2,agreement,51,none,own,1,skilled,2,no,yes,1
low,48,no_credit,old_car,4605,low,seven+,3,male_single,none,4,no_property,24,none,for free,2,skilled,2,no,yes,2
no_acc,12,critical,business,1185,low,four,3,female_divorced_married,none,2,real_estate,27,none,own,2,skilled,1,no,yes,1
no_acc,12,paid,retraining,3447,silver,four,4,female_divorced_married,none,3,real_estate,35,none,own,1,unskilled,2,no,yes,1
no_acc,24,existing_paid,business,1258,low,seven,4,male_single,none,1,real_estate,25,none,own,1,skilled,1,yes,yes,1
no_acc,12,critical,television,717,low,seven+,4,male_single,none,4,real_estate,52,none,own,3,skilled,1,no,yes,1
no_acc,6,no_credit,new_car,1204,medium,four,4,male_single,none,1,no_property,35,bank,rent,1,skilled,1,no,no,1
high,24,existing_paid,furniture,1925,low,four,2,male_single,none,2,real_estate,26,none,own,1,skilled,1,no,yes,1
no_acc,18,existing_paid,television,433,low,unemployed,3,female_divorced_married,co-applicant,4,real_estate,22,none,rent,1,skilled,1,no,yes,2
low,6,critical,new_car,666,gold,seven,3,female_divorced_married,none,4,real_estate,39,none,own,2,unskilled,1,yes,yes,1
high,12,existing_paid,furniture,2251,low,four,1,female_divorced_married,none,2,other,46,none,own,1,unskilled,1,no,yes,1
medium,30,existing_paid,new_car,2150,low,four,4,female_divorced_married,guarantor,2,no_property,24,bank,own,1,skilled,1,no,yes,2
no_acc,24,delay,furniture,4151,medium,four,2,male_single,none,3,agreement,35,none,own,2,skilled,1,no,yes,1
medium,9,existing_paid,furniture,2030,no_acc,seven,2,male_single,none,1,other,24,none,own,1,skilled,1,yes,yes,1
medium,60,delay,television,7418,no_acc,four,1,male_single,none,1,real_estate,27,none,own,1,unskilled,1,no,yes,1
no_acc,24,critical,television,2684,low,four,4,male_single,none,2,real_estate,35,none,own,2,unskilled,1,no,yes,1
low,12,paid,television,2149,low,four,4,male_divorced,none,1,no_property,29,none,for free,1,skilled,1,no,yes,2
no_acc,15,existing_paid,old_car,3812,medium,one,1,female_divorced_married,none,4,other,23,none,own,1,skilled,1,yes,yes,1
no_acc,11,critical,television,1154,medium,unemployed,4,female_divorced_married,none,4,real_estate,57,none,own,3,unskilled,1,no,yes,1
low,12,existing_paid,furniture,1657,low,four,2,male_single,none,2,real_estate,27,none,own,1,skilled,1,no,yes,1
low,24,existing_paid,television,1603,low,seven+,4,female_divorced_married,none,4,other,55,none,own,1,skilled,1,no,yes,1
low,18,critical,new_car,5302,low,seven+,2,male_single,none,4,no_property,36,none,for free,3,management,1,yes,yes,1
no_acc,12,critical,education,2748,low,seven+,2,female_divorced_married,none,4,no_property,57,bank,for free,3,unskilled,1,no,yes,1
no_acc,10,critical,new_car,1231,low,seven+,3,male_single,none,4,real_estate,32,none,own,2,unskilled,2,no,no,1
medium,15,existing_paid,television,802,low,seven+,4,male_single,none,3,other,37,none,own,1,skilled,2,no,yes,2
no_acc,36,critical,business,6304,no_acc,seven+,4,male_single,none,4,real_estate,36,none,own,2,skilled,1,no,yes,1
no_acc,24,existing_paid,television,1533,low,one,4,female_divorced_married,none,3,other,38,stores,own,1,skilled,1,yes,yes,1
low,14,existing_paid,new_car,8978,low,seven+,1,male_divorced,none,4,agreement,45,none,own,1,management,1,yes,no,2
no_acc,24,existing_paid,television,999,no_acc,seven+,4,male_single,none,2,other,25,none,own,2,skilled,1,no,yes,1
no_acc,18,existing_paid,new_car,2662,no_acc,seven,4,male_single,none,3,agreement,32,none,own,1,skilled,1,no,no,1
no_acc,12,critical,furniture,1402,silver,seven,3,female_divorced_married,none,4,other,37,none,rent,1,skilled,1,yes,yes,1
medium,48,paid,new_car,12169,no_acc,unemployed,4,male_single,co-applicant,4,no_property,36,none,for free,1,management,1,yes,yes,1
medium,48,existing_paid,television,3060,low,seven,4,male_single,none,4,real_estate,28,none,own,2,skilled,1,no,yes,2
low,30,existing_paid,repairs,11998,low,one,1,male_divorced,none,1,no_property,34,none,own,1,unskilled,1,yes,yes,2
no_acc,9,existing_paid,television,2697,low,four,1,male_single,none,2,real_estate,32,none,own,1,skilled,2,no,yes,1
no_acc,18,critical,television,2404,low,four,2,female_divorced_married,none,2,other,26,none,own,2,skilled,1,no,yes,1
low,12,existing_paid,furniture,1262,no_acc,seven+,2,male_divorced,none,4,agreement,49,none,own,1,unskilled,1,yes,yes,1
no_acc,6,existing_paid,furniture,4611,low,one,1,female_divorced_married,none,4,agreement,32,none,own,1,skilled,1,no,yes,2
no_acc,24,existing_paid,television,1901,medium,four,4,male_single,none,4,other,29,none,rent,1,management,1,yes,yes,1
no_acc,15,critical,old_car,3368,gold,seven+,3,male_single,none,4,no_property,23,none,rent,2,skilled,1,yes,yes,1
no_acc,12,existing_paid,furniture,1574,low,four,4,male_single,none,2,real_estate,50,none,own,1,skilled,1,no,yes,1
high,18,paid,television,1445,no_acc,seven,4,male_single,none,4,other,49,bank,own,1,unskilled,1,no,yes,1
no_acc,15,critical,furniture,1520,no_acc,seven+,4,male_single,none,4,agreement,63,none,own,1,skilled,1,no,yes,1
medium,24,critical,new_car,3878,medium,one,4,male_divorced,none,2,other,37,none,own,1,skilled,1,yes,yes,1
low,47,existing_paid,new_car,10722,low,one,1,female_divorced_married,none,1,real_estate,35,none,own,1,unskilled,1,yes,yes,1
low,48,existing_paid,old_car,4788,low,seven,4,male_single,none,3,agreement,26,none,own,1,skilled,2,no,yes,1
medium,48,delay,others,7582,medium,unemployed,2,male_single,none,4,no_property,31,none,for free,1,management,1,yes,yes,1
medium,12,existing_paid,television,1092,low,four,4,female_divorced_married,guarantor,4,real_estate,49,none,own,2,skilled,1,yes,yes,1
low,24,delay,television,1024,low,one,4,male_married,none,4,real_estate,48,stores,own,1,skilled,1,no,yes,2
no_acc,12,existing_paid,business,1076,low,four,2,male_married,none,2,real_estate,26,none,own,1,skilled,1,yes,no,1
medium,36,existing_paid,old_car,9398,low,one,1,male_married,none,4,other,28,none,rent,1,management,1,yes,yes,2
low,24,critical,old_car,6419,low,seven+,2,female_divorced_married,none,4,no_property,44,none,for free,2,management,2,yes,yes,1
high,42,critical,old_car,4796,low,seven+,4,male_single,none,4,no_property,56,none,for free,1,skilled,1,no,yes,1
no_acc,48,critical,business,7629,no_acc,seven+,4,male_divorced,none,2,other,46,bank,own,2,management,2,no,yes,1
medium,48,existing_paid,furniture,9960,low,one,1,female_divorced_married,none,2,other,26,none,own,1,skilled,1,yes,yes,2
no_acc,12,existing_paid,old_car,4675,no_acc,one,1,female_divorced_married,none,4,other,20,none,rent,1,skilled,1,no,yes,1
no_acc,10,existing_paid,new_car,1287,no_acc,seven+,4,male_single,co-applicant,2,agreement,45,none,own,1,unskilled,1,no,no,1
no_acc,18,existing_paid,furniture,2515,low,four,3,male_single,none,4,real_estate,43,none,own,1,skilled,1,yes,yes,1
medium,21,critical,furniture,2745,gold,seven,3,male_single,none,2,other,32,none,own,2,skilled,1,yes,yes,1
no_acc,6,existing_paid,new_car,672,low,unemployed,1,female_divorced_married,none,4,real_estate,54,none,own,1,unemployed,1,yes,yes,1
medium,36,no_credit,television,3804,low,four,4,female_divorced_married,none,1,other,42,none,own,1,skilled,1,yes,yes,2
high,24,critical,new_car,1344,no_acc,seven,4,male_single,none,2,real_estate,37,bank,own,2,unskilled,2,no,yes,2
low,10,critical,new_car,1038,low,seven,4,male_single,co-applicant,3,agreement,49,none,own,2,skilled,1,yes,yes,1
no_acc,48,critical,new_car,10127,silver,four,2,male_single,none,2,no_property,44,bank,for free,1,skilled,1,no,yes,2
no_acc,6,existing_paid,furniture,1543,gold,four,4,male_divorced,none,2,real_estate,33,none,own,1,skilled,1,no,yes,1
no_acc,30,existing_paid,old_car,4811,no_acc,seven,2,female_divorced_married,none,4,agreement,24,stores,rent,1,unskilled,1,no,yes,1
low,12,existing_paid,television,727,medium,one,4,male_married,none,3,no_property,33,none,own,1,unskilled,1,yes,yes,2
medium,8,existing_paid,furniture,1237,low,four,3,female_divorced_married,none,4,real_estate,24,none,own,1,skilled,1,no,yes,2
medium,9,existing_paid,new_car,276,low,four,4,male_married,none,4,real_estate,22,none,rent,1,unskilled,1,no,yes,1
medium,48,existing_paid,others,5381,no_acc,unemployed,3,male_single,none,4,no_property,40,bank,for free,1,unemployed,1,yes,yes,1
no_acc,24,existing_paid,furniture,5511,medium,four,4,male_single,none,1,other,25,stores,own,1,skilled,1,no,yes,1
high,24,existing_paid,furniture,3749,low,one,2,female_divorced_married,none,4,other,26,none,own,1,skilled,1,no,yes,1
medium,12,existing_paid,new_car,685,low,seven,2,male_married,none,3,other,25,bank,own,1,unskilled,1,no,yes,2
high,4,existing_paid,new_car,1494,no_acc,one,1,male_single,none,2,real_estate,29,none,own,1,unskilled,2,no,no,1
low,36,paid,furniture,2746,low,seven+,4,male_single,none,4,other,31,bank,own,1,skilled,1,no,yes,2
low,12,existing_paid,furniture,708,low,four,2,male_single,guarantor,3,agreement,38,none,own,1,unskilled,2,no,yes,1
medium,24,existing_paid,furniture,4351,no_acc,four,1,female_divorced_married,none,4,agreement,48,none,own,1,unskilled,1,yes,yes,1
no_acc,12,critical,education,701,low,four,4,male_single,none,2,other,32,none,own,2,skilled,1,no,yes,1
low,15,delay,furniture,3643,low,seven+,1,female_divorced_married,none,4,agreement,27,none,own,2,unskilled,1,no,yes,1
medium,30,critical,new_car,4249,low,unemployed,4,male_married,none,2,other,28,none,own,2,management,1,no,yes,2
low,24,existing_paid,television,1938,low,one,4,male_divorced,none,3,agreement,32,none,own,1,skilled,1,no,yes,2
low,24,existing_paid,old_car,2910,low,seven,2,male_single,none,1,no_property,34,none,for free,1,management,1,yes,yes,1
low,18,existing_paid,furniture,2659,gold,four,4,male_single,none,2,other,28,none,own,1,skilled,1,no,yes,1
no_acc,18,critical,new_car,1028,low,four,4,female_divorced_married,none,3,real_estate,36,none,own,2,skilled,1,no,yes,1
low,8,critical,new_car,3398,low,seven,1,male_single,none,4,real_estate,39,none,own,2,unskilled,1,no,no,1
no_acc,12,critical,furniture,5801,no_acc,seven+,2,male_single,none,4,agreement,49,none,rent,1,skilled,1,yes,yes,1
no_acc,24,existing_paid,new_car,1525,gold,seven,4,female_divorced_married,none,3,other,34,none,own,1,skilled,2,yes,yes,1
high,36,existing_paid,television,4473,low,seven+,4,male_single,none,2,other,31,none,own,1,skilled,1,no,yes,1
medium,6,existing_paid,television,1068,low,seven+,4,male_single,none,4,other,28,none,own,1,skilled,2,no,yes,1
low,24,critical,old_car,6615,low,unemployed,2,male_single,none,4,no_property,75,none,for free,2,management,1,yes,yes,1
no_acc,18,critical,education,1864,medium,four,4,female_divorced_married,none,2,real_estate,30,none,own,2,skilled,1,no,yes,2
medium,60,existing_paid,new_car,7408,medium,one,4,female_divorced_married,none,2,agreement,24,none,own,1,management,1,no,yes,2
no_acc,48,critical,old_car,11590,medium,four,2,female_divorced_married,none,4,other,24,bank,rent,2,unskilled,1,no,yes,2
low,24,no_credit,furniture,4110,low,seven+,3,male_single,none,4,no_property,23,bank,rent,2,skilled,2,no,yes,2
low,6,critical,furniture,3384,low,four,1,male_divorced,none,4,real_estate,44,none,rent,1,management,1,yes,yes,2
medium,13,existing_paid,television,2101,low,one,2,female_divorced_married,guarantor,4,agreement,23,none,own,1,unskilled,1,no,yes,1
low,15,existing_paid,domestic,1275,no_acc,four,4,female_divorced_married,none,2,other,24,none,rent,1,skilled,1,no,yes,2
low,24,existing_paid,furniture,4169,low,four,4,male_single,none,4,agreement,28,none,own,1,skilled,1,no,yes,1
medium,10,existing_paid,furniture,1521,low,four,4,male_divorced,none,2,other,31,none,own,1,unskilled,1,no,yes,1
medium,24,critical,education,5743,low,one,2,female_divorced_married,none,4,no_property,24,none,for free,2,skilled,1,yes,yes,1
low,21,existing_paid,furniture,3599,low,seven,1,female_divorced_married,none,4,other,26,none,rent,1,unskilled,1,no,yes,1
medium,18,existing_paid,television,3213,silver,one,1,male_married,none,3,real_estate,25,none,rent,1,skilled,1,no,yes,1
medium,18,existing_paid,business,4439,low,seven+,1,male_single,co-applicant,1,real_estate,33,bank,own,1,management,1,yes,yes,1
high,10,existing_paid,new_car,3949,low,one,1,male_single,guarantor,1,agreement,37,none,own,1,unskilled,2,no,yes,1
no_acc,15,critical,television,1459,low,four,4,female_divorced_married,none,2,other,43,none,own,1,unskilled,1,no,yes,1
medium,13,critical,television,882,low,one,4,male_single,guarantor,4,real_estate,23,none,own,2,skilled,1,no,yes,1
medium,24,existing_paid,television,3758,silver,unemployed,1,female_divorced_married,none,4,no_property,23,none,rent,1,unemployed,1,no,yes,1
no_acc,6,delay,business,1743,medium,four,1,male_single,none,2,real_estate,34,none,own,2,unskilled,1,no,yes,1
medium,9,critical,education,1136,gold,seven+,4,male_single,none,3,no_property,32,none,for free,2,skilled,2,no,yes,2
no_acc,9,existing_paid,domestic,1236,low,one,1,female_divorced_married,none,4,real_estate,23,none,rent,1,skilled,1,yes,yes,1
medium,9,existing_paid,furniture,959,low,four,1,female_divorced_married,none,2,other,29,none,own,1,skilled,1,no,no,2
no_acc,18,critical,old_car,3229,no_acc,unemployed,2,male_single,none,4,no_property,38,none,own,1,management,1,yes,yes,1
low,12,no_credit,television,6199,low,four,4,male_single,none,2,agreement,28,none,rent,2,skilled,1,yes,yes,2
no_acc,10,existing_paid,education,727,silver,seven+,4,male_single,none,4,no_property,46,none,for free,1,skilled,1,yes,yes,1
medium,24,existing_paid,new_car,1246,low,one,4,male_single,none,2,real_estate,23,stores,own,1,unskilled,1,no,yes,2
no_acc,12,critical,television,2331,no_acc,seven+,1,male_single,co-applicant,4,real_estate,49,none,own,1,skilled,1,yes,yes,1
no_acc,36,delay,television,4463,low,four,4,male_single,none,2,other,26,none,own,2,management,1,yes,yes,2
no_acc,12,existing_paid,television,776,low,four,4,male_married,none,2,real_estate,28,none,own,1,skilled,1,no,yes,1
low,30,existing_paid,furniture,2406,low,seven,4,female_divorced_married,none,4,real_estate,23,none,rent,1,skilled,1,no,yes,2
medium,18,existing_paid,education,1239,no_acc,four,4,male_single,none,4,no_property,61,none,for free,1,skilled,1,no,yes,1
high,12,existing_paid,television,3399,no_acc,seven+,2,male_single,none,3,other,37,none,own,1,management,1,no,yes,1
high,12,delay,new_car,2247,low,four,2,female_divorced_married,none,2,other,36,stores,own,2,skilled,1,yes,yes,1
no_acc,6,existing_paid,furniture,1766,low,four,1,male_married,none,2,agreement,21,none,rent,1,skilled,1,no,yes,1
low,18,existing_paid,furniture,2473,low,unemployed,4,male_single,none,1,other,25,none,own,1,unemployed,1,no,yes,2
no_acc,12,existing_paid,business,1542,low,seven,2,male_single,none,4,other,36,none,own,1,skilled,1,yes,yes,1
no_acc,18,critical,old_car,3850,low,seven,3,male_single,none,1,other,27,none,own,2,skilled,1,no,yes,1
low,18,existing_paid,furniture,3650,low,one,1,female_divorced_married,none,4,other,22,none,rent,1,skilled,1,no,yes,1
low,36,existing_paid,furniture,3446,low,seven+,4,male_single,none,2,other,42,none,own,1,skilled,2,no,yes,2
medium,18,existing_paid,furniture,3001,low,seven,2,female_divorced_married,none,4,real_estate,40,none,rent,1,skilled,1,no,yes,1
no_acc,36,existing_paid,new_car,3079,no_acc,four,4,male_single,none,4,real_estate,36,none,own,1,skilled,1,no,yes,1
no_acc,18,critical,television,6070,low,seven+,3,male_single,none,4,other,33,none,own,2,skilled,1,yes,yes,1
no_acc,10,critical,furniture,2146,low,one,1,female_divorced_married,none,3,real_estate,23,none,rent,2,skilled,1,no,yes,1
no_acc,60,critical,new_car,13756,no_acc,seven+,2,male_single,none,4,no_property,63,bank,for free,1,management,1,yes,yes,1
medium,60,paid,others,14782,medium,seven+,3,female_divorced_married,none,4,no_property,60,bank,for free,2,management,1,yes,yes,2
low,48,paid,business,7685,low,seven,2,female_divorced_married,guarantor,4,other,37,none,rent,1,skilled,1,no,yes,2
no_acc,18,delay,television,2320,low,unemployed,2,male_married,none,3,real_estate,34,none,own,2,skilled,1,no,yes,1
no_acc,7,delay,television,846,no_acc,seven+,3,male_single,none,4,no_property,36,none,for free,1,skilled,1,no,yes,1
medium,36,existing_paid,new_car,14318,low,seven+,4,male_single,none,2,no_property,57,none,for free,1,management,1,yes,yes,2
no_acc,6,critical,new_car,362,medium,four,4,female_divorced_married,none,4,other,52,none,own,2,unskilled,1,no,yes,1
low,20,existing_paid,furniture,2212,no_acc,seven,4,male_single,none,4,other,39,none,own,1,skilled,1,yes,yes,1
medium,18,existing_paid,old_car,12976,low,unemployed,3,female_divorced_married,none,4,no_property,38,none,for free,1,management,1,yes,yes,2
no_acc,22,existing_paid,new_car,1283,no_acc,seven,4,female_divorced_married,none,4,agreement,25,none,rent,1,skilled,1,no,yes,1
high,12,existing_paid,new_car,1330,low,one,4,male_single,none,1,real_estate,26,none,own,1,skilled,1,no,yes,1
no_acc,30,delay,business,4272,medium,four,2,male_single,none,2,agreement,26,none,own,2,unskilled,1,no,yes,1
no_acc,18,critical,television,2238,low,four,2,female_divorced_married,none,1,other,25,none,own,2,skilled,1,no,yes,1
no_acc,18,existing_paid,television,1126,no_acc,one,4,female_divorced_married,none,2,real_estate,21,none,rent,1,skilled,1,yes,yes,1
medium,18,critical,furniture,7374,low,unemployed,4,male_single,none,4,agreement,40,stores,own,2,management,1,yes,yes,1
medium,15,critical,business,2326,silver,four,2,male_single,none,4,other,27,bank,own,1,skilled,1,no,yes,1
no_acc,9,existing_paid,business,1449,low,seven,3,female_divorced_married,none,2,other,27,none,own,2,skilled,1,no,yes,1
no_acc,18,existing_paid,new_car,1820,low,four,2,male_married,none,2,agreement,30,none,own,1,management,1,yes,yes,1
medium,12,existing_paid,furniture,983,gold,one,1,female_divorced_married,none,4,real_estate,19,none,rent,1,unskilled,1,no,yes,1
low,36,existing_paid,new_car,3249,low,seven,2,male_single,none,4,no_property,39,bank,for free,1,management,2,yes,yes,1
low,6,critical,television,1957,low,seven,1,female_divorced_married,none,4,other,31,none,own,1,skilled,1,no,yes,1
no_acc,9,critical,furniture,2406,low,unemployed,2,male_single,none,3,other,31,none,own,1,management,1,no,yes,1
medium,39,delay,education,11760,medium,seven,2,male_single,none,3,no_property,32,none,rent,1,skilled,1,yes,yes,1
low,12,existing_paid,furniture,2578,low,unemployed,3,female_divorced_married,none,4,no_property,55,none,for free,1,management,1,no,yes,1
low,36,critical,furniture,2348,low,four,3,male_married,none,2,agreement,46,none,own,2,skilled,1,yes,yes,1
medium,12,existing_paid,new_car,1223,low,seven+,1,male_divorced,none,1,real_estate,46,none,rent,2,skilled,1,no,yes,2
no_acc,24,critical,television,1516,gold,four,4,female_divorced_married,none,1,real_estate,43,none,own,2,unskilled,1,no,yes,1
no_acc,18,existing_paid,television,1473,low,one,3,male_married,none,4,real_estate,39,none,own,1,skilled,1,yes,yes,1
medium,18,critical,business,1887,no_acc,four,4,male_married,none,4,real_estate,28,bank,own,2,skilled,1,no,yes,1
no_acc,24,delay,business,8648,low,one,2,male_single,none,2,other,27,bank,own,2,skilled,1,yes,yes,2
no_acc,14,delay,new_car,802,low,four,4,male_single,none,2,other,27,none,own,2,unskilled,1,no,yes,1
medium,18,delay,new_car,2899,no_acc,seven+,4,male_single,none,4,other,43,none,own,1,skilled,2,no,yes,1
medium,24,existing_paid,television,2039,low,one,1,male_married,none,1,agreement,22,none,own,1,skilled,1,yes,yes,2
no_acc,24,critical,old_car,2197,no_acc,seven,4,male_single,none,4,other,43,none,own,2,skilled,2,yes,yes,1
low,15,existing_paid,television,1053,low,one,4,male_married,none,2,real_estate,27,none,own,1,skilled,1,no,no,1
no_acc,24,existing_paid,television,3235,silver,seven+,3,male_divorced,none,2,other,26,none,own,1,management,1,yes,yes,1
high,12,critical,new_car,939,silver,seven,4,male_married,none,2,real_estate,28,none,own,3,skilled,1,yes,yes,2
medium,24,existing_paid,television,1967,low,seven+,4,female_divorced_married,none,4,other,20,none,own,1,skilled,1,yes,yes,1
no_acc,33,critical,old_car,7253,low,seven,3,male_single,none,2,other,35,none,own,2,management,1,yes,yes,1
no_acc,12,critical,business,2292,low,unemployed,4,male_single,none,2,other,42,stores,own,2,management,1,yes,yes,2
no_acc,10,existing_paid,new_car,1597,silver,four,3,male_single,none,2,no_property,40,none,rent,1,unskilled,2,no,no,1
low,24,existing_paid,new_car,1381,no_acc,four,4,female_divorced_married,none,2,agreement,35,none,own,1,skilled,1,no,yes,2
no_acc,36,critical,old_car,5842,low,seven+,2,male_single,none,2,agreement,35,none,own,2,skilled,2,yes,yes,1
low,12,existing_paid,new_car,2579,low,one,4,male_single,none,1,real_estate,33,none,own,1,unskilled,2,no,yes,2
low,18,delay,education,8471,no_acc,four,1,female_divorced_married,none,2,other,23,none,rent,2,skilled,1,yes,yes,1
no_acc,21,existing_paid,new_car,2782,silver,seven,1,female_divorced_married,none,2,other,31,bank,own,1,management,1,no,yes,1
medium,18,existing_paid,new_car,1042,no_acc,four,4,female_divorced_married,none,2,agreement,33,none,own,1,skilled,1,no,yes,2
no_acc,15,existing_paid,new_car,3186,gold,seven,2,female_divorced_married,none,3,other,20,none,rent,1,skilled,1,no,yes,1
medium,12,existing_paid,old_car,2028,no_acc,four,4,male_single,none,2,other,30,none,own,1,skilled,1,no,yes,1
medium,12,critical,new_car,958,low,seven,2,male_single,none,3,real_estate,47,none,own,2,unskilled,2,no,yes,1
no_acc,21,delay,furniture,1591,medium,seven,4,male_single,none,3,real_estate,34,none,own,2,management,1,no,yes,1
medium,12,existing_paid,furniture,2762,no_acc,seven+,1,female_divorced_married,none,2,agreement,25,bank,own,1,skilled,1,yes,yes,2
medium,18,existing_paid,old_car,2779,low,four,1,male_married,none,3,other,21,none,rent,1,skilled,1,yes,yes,1
no_acc,28,critical,television,2743,low,seven+,4,male_single,none,2,other,29,none,own,2,skilled,1,no,yes,1
no_acc,18,critical,television,1149,gold,four,4,male_single,none,3,real_estate,46,none,own,2,skilled,1,no,yes,1
no_acc,9,existing_paid,furniture,1313,low,seven+,1,male_single,none,4,other,20,none,own,1,skilled,1,no,yes,1
low,18,critical,repairs,1190,low,unemployed,2,female_divorced_married,none,4,no_property,55,none,for free,3,unemployed,2,no,yes,2
no_acc,5,existing_paid,business,3448,low,seven,1,male_single,none,4,real_estate,74,none,own,1,unskilled,1,no,yes,1
medium,24,existing_paid,others,11328,low,four,2,male_single,co-applicant,3,other,29,bank,own,2,management,1,yes,yes,2
low,6,critical,furniture,1872,low,unemployed,4,male_single,none,4,no_property,36,none,for free,3,management,1,yes,yes,1
no_acc,24,critical,repairs,2058,low,four,4,male_divorced,none,2,real_estate,33,none,own,2,skilled,1,yes,yes,1
low,9,existing_paid,furniture,2136,low,four,3,male_single,none,2,real_estate,25,none,own,1,skilled,1,no,yes,1
medium,12,existing_paid,television,1484,no_acc,four,2,male_married,none,1,real_estate,25,none,own,1,skilled,1,yes,yes,2
no_acc,6,existing_paid,repairs,660,silver,seven,2,male_married,none,4,real_estate,23,none,rent,1,unskilled,1,no,yes,1
no_acc,24,critical,new_car,1287,gold,seven+,4,female_divorced_married,none,4,real_estate,37,none,own,2,skilled,1,yes,yes,1
low,42,critical,repairs,3394,low,unemployed,4,male_single,co-applicant,4,other,65,none,own,2,unemployed,1,no,yes,1
high,12,paid,business,609,low,one,4,female_divorced_married,none,1,real_estate,26,none,own,1,unemployed,1,no,yes,2
no_acc,12,existing_paid,new_car,1884,low,seven+,4,male_single,none,4,other,39,none,own,1,management,1,yes,yes,1
low,12,existing_paid,furniture,1620,low,four,2,female_divorced_married,co-applicant,3,agreement,30,none,own,1,skilled,1,no,yes,1
medium,20,delay,others,2629,low,four,2,male_single,none,3,other,29,bank,own,2,skilled,1,yes,yes,1
no_acc,12,existing_paid,education,719,low,seven+,4,male_single,none,4,other,41,bank,own,1,unskilled,2,no,yes,2
medium,48,critical,furniture,5096,low,four,2,female_divorced_married,none,3,other,30,none,own,1,management,1,yes,yes,2
no_acc,9,critical,education,1244,no_acc,seven+,4,female_divorced_married,none,4,agreement,41,none,rent,2,unskilled,1,no,yes,1
low,36,existing_paid,new_car,1842,low,one,4,female_divorced_married,none,4,other,34,none,own,1,skilled,1,yes,yes,2
medium,7,existing_paid,television,2576,low,four,2,male_single,guarantor,2,real_estate,35,none,own,1,skilled,1,no,yes,1
high,12,existing_paid,furniture,1424,no_acc,seven+,3,female_divorced_married,none,4,real_estate,55,none,own,1,management,1,yes,yes,1
medium,15,delay,repairs,1512,gold,four,3,male_married,none,3,agreement,61,stores,own,2,skilled,1,no,yes,2
no_acc,36,critical,old_car,11054,no_acc,four,4,male_single,none,2,other,30,none,own,1,management,1,yes,yes,1
no_acc,6,existing_paid,television,518,low,four,3,female_divorced_married,none,1,real_estate,29,none,own,1,skilled,1,no,yes,1
no_acc,12,no_credit,furniture,2759,low,seven+,2,male_single,none,4,agreement,34,none,own,2,skilled,1,no,yes,1
no_acc,24,existing_paid,old_car,2670,low,seven+,4,male_single,none,4,other,35,none,own,1,management,1,yes,yes,1
low,24,existing_paid,new_car,4817,low,seven,2,male_single,co-applicant,3,agreement,31,none,own,1,skilled,1,yes,yes,2
no_acc,24,existing_paid,old_car,2679,low,one,4,female_divorced_married,none,1,no_property,29,none,own,1,management,1,yes,yes,1
low,11,critical,new_car,3905,low,four,2,male_single,none,2,real_estate,36,none,rent,2,skilled,2,no,yes,1
low,12,existing_paid,old_car,3386,low,seven+,3,male_single,none,4,no_property,35,none,for free,1,skilled,1,yes,yes,2
low,6,existing_paid,domestic,343,low,one,4,female_divorced_married,none,1,real_estate,27,none,own,1,skilled,1,no,yes,1
no_acc,18,existing_paid,television,4594,low,one,3,male_single,none,2,other,32,none,own,1,skilled,1,yes,yes,1
low,36,existing_paid,furniture,3620,low,four,1,male_single,guarantor,2,agreement,37,none,own,1,skilled,2,no,yes,1
low,15,existing_paid,new_car,1721,low,one,2,male_single,none,3,real_estate,36,none,own,1,skilled,1,no,yes,1
medium,12,existing_paid,furniture,3017,low,one,3,female_divorced_married,none,1,real_estate,34,none,rent,1,management,1,no,yes,1
medium,12,existing_paid,retraining,754,no_acc,seven+,4,male_single,none,4,agreement,38,none,own,2,skilled,1,no,yes,1
no_acc,18,existing_paid,business,1950,low,seven,4,male_single,none,1,other,34,stores,own,2,skilled,1,yes,yes,1
low,24,existing_paid,old_car,2924,low,four,3,male_single,guarantor,4,no_property,63,bank,own,1,skilled,2,yes,yes,1
low,24,delay,television,1659,low,one,4,female_divorced_married,none,2,other,29,none,rent,1,unskilled,1,yes,yes,2
no_acc,48,delay,television,7238,no_acc,seven+,3,male_single,none,3,other,32,bank,own,2,skilled,2,no,yes,1
no_acc,33,delay,business,2764,low,four,2,female_divorced_married,none,2,other,26,none,own,2,skilled,1,yes,yes,1
no_acc,24,delay,old_car,4679,low,seven,3,male_single,none,3,other,35,none,own,2,unskilled,1,yes,yes,1
medium,24,existing_paid,television,3092,medium,one,3,male_married,none,2,other,22,none,rent,1,skilled,1,yes,yes,2
